source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,cooleyi,,,,KOHLS  HOOGSTRAAL 1960,,,,,,Argas cooleyi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,cordiformis,,,,HOOGSTRAAL  KOHLS 1967,,,,,,Argas cordiformis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,cucumerinus,,,,NEUMANN,,,,,,Argas cucumerinus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,daviesi,,,,KAISER  HOOGSTRAAL 1973,,,,,,Argas daviesi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,dewae,,,,KAISER  HOOGSTRAAL 1974,,,,,,Argas dewae
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,dissimile,,,,,,,,,,Argas dissimile
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,dulus,,,,KEIRANS  CLIFFORD  CAPRILES 1971,,,,,,Argas dulus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,echinops,,,,HOOGSTRAAL  UILENBERG  BLANC 1967,,,,,,Argas echinops
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,falco,,,,KAISER  HOOGSTRAAL 1974,,,,,,Argas falco
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,giganteus,,,,KOHLS  CLIFFORD 1968,,,,,,Argas giganteus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,gilcolladoi,,,,,,,,,,Argas gilcolladoi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,hermanni,,,,AUDOUIN,,,,,,Argas hermanni
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,himalayensis,,,,HOOGSTRAAL  KAISER 1973,,,,,,Argas himalayensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,hoogstraali,,,,MOREL  VASSILIADES,,,,,,Argas hoogstraali
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,japonicus,,,,YAMAGUTI  CLIFFORD  TIPTON 1968,,,,,,Argas japonicus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,lagenoplastis,,,,FROGGATT,,,,,,Argas lagenoplastis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,latus,,,,FILIPPOVA,,,,,,Argas latus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,lgenoplastis,,,,FROGGATT,,,,,,Argas lgenoplastis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,lowryae,,,,Kaiser & Hoogstraal 1975,,,,,,Argas lowryae
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,macrodermae,,,,,,,,,,Argas macrodermae
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,macrostigmatus,,,,,,,,,,Argas macrostigmatus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,magnus,,,,NEUMANN,,,,,,Argas magnus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,miniatus,,,,KOCH,,,,,,Argas miniatus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,mochus,,,,KEIRANS  CLIFFORD  RADOVSKY,,,,,,Argas mochus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,monolakensis,,,,,,,,,,Argas monolakensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,moreli,,,,"Keirans, Hoogstraal & Clifford 1979",,,,,,Argas moreli
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,neghmei,,,,KOHLS  HOOGSTRAAL 1961,,,,,,Argas neghmei
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,nullarborensis,,,,HOOGSTRAAL  KAISER 1973,,,,,,Argas nullarborensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,peringueyi,,,,,,,,,,Argas peringueyi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,persicargas,keiransi,,,,,,,,,Argas persicargas keiransi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,persicus,,,,(OKEN 1818),,,,,,Argas persicus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,persius,,,,(OKEN),,,,,,Argas persius
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,polonicus,,,,"Siuda, Hoogstraal, Clifford & Wassef, 1979",,,,,,Argas polonicus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,pusillus,,,,KOHLS,,,,,,Argas pusillus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,radiatus,,,,RAILLIET,,,,,,Argas radiatus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,reflexus,,,,(FABRICIUS 1794),,,,,,Argas reflexus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,reflexus,indicus,,,WARBURTON,,,,,,Argas reflexus indicus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,reflexus,reflexus,,,FABRICUS,,,,,,Argas reflexus reflexus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,ricei,,,,HOOGSTRAAL  KAISER  CLIFFORD  KEIRA 1975,,,,,,Argas ricei
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,robertsi,,,,HOOGSTRAAL  KAISER  KOHLS,,,,,,Argas robertsi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,sanchexi,,,,,,,,,,Argas sanchexi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,sanchezi,,,,DUGES,,,,,,Argas sanchezi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,streptopelia,,,,KAISER  HOOGSTRAAL  HORNER 1970,,,,,,Argas streptopelia
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,testudo,rossi,,,,,,,,,Argas testudo rossi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,theilerae,,,,HOOGSTRAAL  KAISER 1970,,,,,,Argas theilerae
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,transgariepinus,,,,(WHITE),,,,,,Argas transgariepinus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,transgariepinus,white,,,(WHITE),,,,,,Argas transgariepinus white
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,transversus,,,,BANKS,,,,,,Argas transversus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,tridentatus,,,,FILIPPOVA,,,,,,Argas tridentatus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,tyto,,,,,,,,,,Argas tyto
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,vespertilionis,,,,(LATREILLE),,,,,,Argas vespertilionis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,vulgaris,,,,FILIPPOVA,,,,,,Argas vulgaris
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,walkarae,,,,KAISER  HOOGSTRAAL  KOHLS 1969,,,,,,Argas walkarae
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,zumpti,,,,HOOGSTRAAL  KAISER  KOHLS 1968,,,,,,Argas zumpti
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,batuensis,,,,,,,,,,Carios batuensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,capensis,,,,(Neumann),,,,,,Carios capensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,fonsecai,,,,"M. B. Labruna & J. M. Venzal, 2009",,,,,,Carios fonsecai
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,kelleyi,,,,COOLEY AND KOHLS,,,,,,Carios kelleyi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,rioplatensis,,,,,,,,,,Carios rioplatensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,rondoniensis,,,,"Labruna, 2007",,,,,,Carios rondoniensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,vespertilionis,,,,,,,,,,Carios vespertilionis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,acinus,,,,WHITTICK,,,,,,Ornithodoros acinus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,afrimeropsis,,,,HOOGSTRAAL  KEIRANS  CLIFFORD  VAN,,,,,,Ornithodoros afrimeropsis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,alactagalis,,,,ISSAAKJAN,,,,,,Ornithodoros alactagalis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,amblum,,,,CHAMBERLIN,,,,,,Ornithodoros amblum
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,amblus,,,,CHAMBERLAIN,,,,,,Ornithodoros amblus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,anduzei,,,,"MATHESON, 1941",,,,,,Ornithodoros anduzei
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,apertus,,,,WALTON,,,,,,Ornithodoros apertus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,aquilae,,,,COOLEY 1944,,,,,,Ornithodoros aquilae
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,arenicolous,,,,HOOGSTRAAL 1953,,,,,,Ornithodoros arenicolous
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,asperus,,,,WARBURTON,,,,,,Ornithodoros asperus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,azteci,,,,MATHESON 1935,,,,,,Ornithodoros azteci
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,batuensis,,,,HIRST,,,,,,Ornithodoros batuensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,boliviensis,,,,KOHLS  CLIFFORD 1964,,,,,,Ornithodoros boliviensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,brasiliensis,,,,ARAGAO,,,,,,Ornithodoros brasiliensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,brodyi,,,,MATHESON,,,,,,Ornithodoros brodyi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,canestrini,,,,(BIRULA),,,,,,Ornithodoros canestrini
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,canestrinii,,,,(BIRULA),,,,,,Ornithodoros canestrinii
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,capensis,,,,NEUMANN,,,,,,Ornithodoros capensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,casebeeri,,,,JONES  CLIFFORD,,,,,,Ornithodoros casebeeri
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,chironectes,,,,JONES  CLIFFORD,,,,,,Ornithodoros chironectes
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,chiropterphila,,,,DHANDA  RAJAGOPALAN,,,,,,Ornithodoros chiropterphila
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,clarki,,,,JONES  CLIFFORD,,,,,,Ornithodoros clarki
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,collocaliae,,,,HOOGSTRAAL  KADARSAN  KAISER  VAN PEENEN 1974,,,,,,Ornithodoros collocaliae
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,compactus,,,,WALTON,,,,,,Ornithodoros compactus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,concanensis,,,,COOLEY  KOHLS 1941,,,,,,Ornithodoros concanensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,coniceps,,,,CANESTRINI,,,,,,Ornithodoros coniceps
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,cooleyi,,,,MCIVOR,,,,,,Ornithodoros cooleyi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,coriaceus,,,,KOCH,,,,,,Ornithodoros coriaceus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,darwini,,,,KOHLS  CLIFFORD  HOOGSTRAAL,,,,,,Ornithodoros darwini
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,delancei,acinus,,,WHITTICK,,,,,,Ornithodoros delancei acinus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,delanoei,delanoei,,,ROUBAUD  COLAS-BELCOUR,,,,,,Ornithodoros delanoei delanoei
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,delanoei,,,,ROUBAUD  COLAS-BELCOUR,,,,,,Ornithodoros delanoei
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,demrki,,,,KOHLS  SONENSHINE  CLIFFORD,,,,,,Ornithodoros demrki
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,dugesi,,,,MAZZOTTI,,,,,,Ornithodoros dugesi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,dusbabeki,,,,CERNY,,,,,,Ornithodoros dusbabeki
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,dyeri,,,,COOLEY  KOHLS,,,,,,Ornithodoros dyeri
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,eboris,,,,THEILER,,,,,,Ornithodoros eboris
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,echimys,,,,KOHLS  CLIFFORD  JONES,,,,,,Ornithodoros echimys
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,elongatus,,,,KOHLS  SONENSHINE  CLIFFORD,,,,,,Ornithodoros elongatus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,eptesicus,,,,KOHLS  CLIFFORD  JONES,,,,,,Ornithodoros eptesicus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,eremicus,,,,COOLEY  KOHLS 1941,,,,,,Ornithodoros eremicus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,erraticus,,,,"(Lucas, 1849)",,,,,,Ornithodoros erraticus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,faini,,,,HOOGSTRAAL 1960,,,,,,Ornithodoros faini
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,foleyi,,,,PARROT,,,,,,Ornithodoros foleyi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,furcosus,,,,NEUMANN,,,,,,Ornithodoros furcosus
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,galapagensis,,,,KOHLS  CLIFFORD  HOOGSTRAAL,,,,,,Ornithodoros galapagensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,graingeri,,,,HEISCH  GUGGISBERG,,,,,,Ornithodoros graingeri
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,grenieri,,,,KLEIN,,,,,,Ornithodoros grenieri
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,guaporensis,,,,,,,,,,Ornithodoros guaporensis
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,gurneyi,,,,WARBURTON,,,,,,Ornithodoros gurneyi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,hasei,,,,(SCHULZE),,,,,,Ornithodoros hasei
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,hermsi,,,,WHEELER  HERMS  MEYER,,,,,,Ornithodoros hermsi
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,indica,,,,RAU  RAO 1971,,,,,,Ornithodoros indica
,,,,,,,,,,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,kelleyi,,,,COOLEY  KOHLS 1941,,,,,,Ornithodoros kelleyi
